{'名称': '力帆汽车迈威2016款1.5自动尊享型', '链接': 'https://www.xin.com/40d011jwy9/che43325962h.html?cityid=3001', '使用情况': '2017年｜2.1万公里｜华东仓', '价格': '4.80万', '按揭': '首付0.53万月供1178元'}
{'名称': '潍柴英致英致G32015款1.5自动致豪型', '链接': 'https://www.xin.com/40d011jwy9/che59139281h.html?cityid=3001', '使用情况': '2016年｜1.3万公里｜华东仓', '价格': '5.00万', '按揭': '首付0.55万月供1227元'}
{'名称': '福特嘉年华两厢2013款1.5自动时尚型', '链接': 'https://www.xin.com/40d011jwy9/che54357571h.html?cityid=3001', '使用情况': '2014年｜3.5万公里｜华东仓', '价格': '5.60万', '按揭': '首付0.61万月供1374元'}
{'名称': '现代瑞纳三厢2014款1.4自动GLS智能型', '链接': 'https://www.xin.com/40d011jwy9/che36386643h.html?cityid=3001', '使用情况': '2015年｜2.8万公里｜华东仓', '价格': '5.80万', '按揭': '首付0.64万月供1423元'}
{'名称': '荣威3502015款1.5自动豪华天窗版', '链接': 'https://www.xin.com/40d011jwy9/che76684489h.html?cityid=3001', '使用情况': '2016年｜4.1万公里｜华东仓', '价格': '5.80万', '按揭': '首付0.64万月供1423元'}
{'名称': '别克凯越2015款1.5自动经典型', '链接': 'https://www.xin.com/40d011jwy9/che36647749h.html?cityid=3001', '使用情况': '2016年｜3.4万公里｜华东仓', '价格': '5.80万', '按揭': '首付0.64万月供1423元'}
{'名称': '荣威3502015款1.5自动豪华天窗版', '链接': 'https://www.xin.com/40d011jwy9/che50354281h.html?cityid=3001', '使用情况': '2015年｜4.2万公里｜华东仓', '价格': '5.88万', '按揭': '首付0.64万月供1443元'}
{'名称': '福特翼搏2013款1.5自动风尚型', '链接': 'https://www.xin.com/40d011jwy9/che60458950h.html?cityid=3001', '使用情况': '2014年｜4.2万公里｜华东仓', '价格': '6.30万', '按揭': '首付0.69万月供1546元'}
{'名称': '铃木雨燕2013款1.5自动20周年限量型', '链接': 'https://www.xin.com/40d011jwy9/che68864838h.html?cityid=3001', '使用情况': '2017年｜2.0万公里｜华东仓', '价格': '6.60万', '按揭': '首付0.72万月供1619元'}
{'名称': '大众POLO两厢2014款1.4自动舒适版', '链接': 'https://www.xin.com/40d011jwy9/che49248351h.html?cityid=3001', '使用情况': '2016年｜2.7万公里｜华东仓', '价格': '6.68万', '按揭': '首付0.73万月供1639元'}
{'名称': '大众POLO两厢2014款1.6自动豪华版', '链接': 'https://www.xin.com/40d011jwy9/che30773124h.html?cityid=3001', '使用情况': '2014年｜4.7万公里｜华东仓', '价格': '6.70万', '按揭': '首付0.73万月供1644元'}
{'名称': '本田飞度两厢2014款1.5自动LX舒适版', '链接': 'https://www.xin.com/40d011jwy9/che65119983h.html?cityid=3001', '使用情况': '2015年｜3.5万公里｜华东仓', '价格': '6.70万', '按揭': '首付0.73万月供1644元'}
{'名称': '吉利汽车帝豪三厢2016款1.5自动向上版', '链接': 'https://www.xin.com/40d011jwy9/che62306482h.html?cityid=3001', '使用情况': '2016年｜3.9万公里｜华东仓', '价格': '6.80万', '按揭': '首付0.75万月供1668元'}
